
2025/03/04 (00:38:43) | ===> btop++ v.1.4.0
2025/03/04 (00:38:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (00:38:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (00:40:08) | ===> btop++ v.1.4.0
2025/03/04 (00:40:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (00:40:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (01:21:03) | ===> btop++ v.1.4.0
2025/03/04 (01:21:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (01:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (01:37:19) | ===> btop++ v.1.4.0
2025/03/04 (01:37:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (01:37:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (07:47:29) | ===> btop++ v.1.4.0
2025/03/04 (07:47:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (07:47:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:59:02) | ===> btop++ v.1.4.0
2025/03/04 (19:59:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (19:59:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (21:39:04) | ===> btop++ v.1.4.0
2025/03/06 (21:39:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (21:39:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (16:18:48) | ===> btop++ v.1.4.0
2025/03/10 (16:18:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (16:18:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (16:21:04) | ===> btop++ v.1.4.0
2025/03/10 (16:21:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (16:21:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (16:23:14) | INFO: Logger set to INFO
2025/03/10 (16:23:14) | INFO: Logger set to DEBUG
2025/03/10 (16:23:15) | INFO: Logger set to INFO
