1738114156.050473 server started (9171): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1738114156.050513 on Linux 6.8.0-52-generic #53-Ubuntu SMP PREEMPT_DYNAMIC Sat Jan 11 00:06:25 UTC 2025
1738114156.050522 using libevent 2.1.12-stable poll
1738114156.050526 using ncurses 6.4 20240113
1738114156.050626 input_key_build: 0x10e003 (PasteStart) is \033[200~
1738114156.050630 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1738114156.050634 input_key_build: 0x10e195 (F1) is \033OP
1738114156.050637 input_key_build: 0x10e196 (F2) is \033OQ
1738114156.050640 input_key_build: 0x10e197 (F3) is \033OR
1738114156.050643 input_key_build: 0x10e198 (F4) is \033OS
1738114156.050645 input_key_build: 0x10e199 (F5) is \033[15~
1738114156.050648 input_key_build: 0x10e19a (F6) is \033[17~
1738114156.050650 input_key_build: 0x10e19b (F7) is \033[18~
1738114156.050653 input_key_build: 0x10e19c (F8) is \033[19~
1738114156.050656 input_key_build: 0x10e19d (F9) is \033[20~
1738114156.050658 input_key_build: 0x10e19e (F10) is \033[21~
1738114156.050661 input_key_build: 0x10e19f (F11) is \033[23~
1738114156.050663 input_key_build: 0x10e1a0 (F12) is \033[24~
1738114156.050666 input_key_build: 0x10e1a1 (IC) is \033[2~
1738114156.050669 input_key_build: 0x10e1a2 (DC) is \033[3~
1738114156.050671 input_key_build: 0x10e1a3 (Home) is \033[1~
1738114156.050674 input_key_build: 0x10e1a4 (End) is \033[4~
1738114156.050677 input_key_build: 0x10e1a5 (NPage) is \033[6~
1738114156.050679 input_key_build: 0x10e1a6 (PPage) is \033[5~
1738114156.050685 input_key_build: 0x10e1a7 (BTab) is \033[Z
1738114156.050688 input_key_build: 0x10e1a8 (Up) is \033[A
1738114156.050690 input_key_build: 0x10e1a9 (Down) is \033[B
1738114156.050693 input_key_build: 0x10e1aa (Left) is \033[D
1738114156.050695 input_key_build: 0x10e1ab (Right) is \033[C
1738114156.050698 input_key_build: 0x10e1ac (KP/) is /
1738114156.050701 input_key_build: 0x10e1ad (KP*) is *
1738114156.050704 input_key_build: 0x10e1ae (KP-) is -
1738114156.050706 input_key_build: 0x10e1af (KP7) is 7
1738114156.050709 input_key_build: 0x10e1b0 (KP8) is 8
1738114156.050711 input_key_build: 0x10e1b1 (KP9) is 9
1738114156.050714 input_key_build: 0x10e1b2 (KP+) is +
1738114156.050716 input_key_build: 0x10e1b3 (KP4) is 4
1738114156.050719 input_key_build: 0x10e1b4 (KP5) is 5
1738114156.050721 input_key_build: 0x10e1b5 (KP6) is 6
1738114156.050724 input_key_build: 0x10e1b6 (KP1) is 1
1738114156.050726 input_key_build: 0x10e1b7 (KP2) is 2
1738114156.050729 input_key_build: 0x10e1b8 (KP3) is 3
1738114156.050732 input_key_build: 0x10e1b9 (KPEnter) is \n
1738114156.050734 input_key_build: 0x10e1ba (KP0) is 0
